x,y
-5.416678762991072871e-01,-5.716251534190744943e-01
-5.431977676009200895e-01,-5.703128307798165375e-01
-5.447256123798852601e-01,-5.689981263046509641e-01
-5.462531015819617197e-01,-5.676830085514115165e-01
-5.477787832211966634e-01,-5.663657947782496649e-01
-5.493036696366214722e-01,-5.650476599685563261e-01
-5.508271932562253115e-01,-5.637279509262359545e-01
-5.523494602411344045e-01,-5.624067918865176541e-01
-5.538708303425431412e-01,-5.610846007164658200e-01
-5.553904616826891294e-01,-5.597604109205732703e-01
-5.569096821654205831e-01,-5.584357499051620932e-01
-5.584266620576224804e-01,-5.571085234429945521e-01
-5.599434281264409341e-01,-5.557810525789983469e-01
-5.614580953888325121e-01,-5.544511880722727826e-01
-5.629723372057514608e-01,-5.531208385234051006e-01
-5.644851804971723341e-01,-5.517888996713520289e-01
-5.659973284798559545e-01,-5.504561706363475526e-01
-5.675081163335657930e-01,-5.491219013487808054e-01
-5.690175940543097388e-01,-5.477861486722512829e-01
-5.705261790613282979e-01,-5.464493890861906733e-01
-5.720329587630026413e-01,-5.451105936825162424e-01
-5.735393549364347088e-01,-5.437713674586842627e-01
-5.750434096683341156e-01,-5.424295114434093401e-01
-5.765475243374619252e-01,-5.410877226134302997e-01
-5.780489406096105398e-01,-5.397429152899552163e-01
-5.795503964247653572e-01,-5.383981518767795293e-01
-5.810495430321434007e-01,-5.370508157638439473e-01
-5.825483150830850221e-01,-5.357030618762240737e-01
-5.840452017318167321e-01,-5.343532159544298610e-01
-5.855412669607062970e-01,-5.330024580067628248e-01
-5.870359022486842937e-01,-5.316501198029428554e-01
-5.885292384513926001e-01,-5.302963453800944027e-01
-5.900217132036977841e-01,-5.289416225629758328e-01
-5.915126138194881644e-01,-5.275851663137314240e-01
-5.930031333726760723e-01,-5.262282923301366822e-01
-5.944914093509514608e-01,-5.248689568988444965e-01
-5.959797986124153457e-01,-5.235097459009661058e-01
-5.974652658735436495e-01,-5.221473416957488345e-01
-5.989510650161803396e-01,-5.207852995736378388e-01
-6.004340549086566448e-01,-5.194202000744796432e-01
-6.019171020086393487e-01,-5.180551619694614418e-01
-6.033977606276935690e-01,-5.166875352812138056e-01
-6.048780424973112524e-01,-5.153194990246354745e-01
-6.063563668912431703e-01,-5.139493502739082009e-01
-6.078338703764383233e-01,-5.125783138269963679e-01
-6.093098572373318866e-01,-5.112056477174996560e-01
-6.107845691891102824e-01,-5.098316091397924188e-01
-6.122582148689866832e-01,-5.084564299788383313e-01
-6.137301221139894736e-01,-5.070793873964010157e-01
-6.152014226410977837e-01,-5.057016991213194590e-01
-6.166705119512987388e-01,-5.043216506947102440e-01
-6.181394630465721907e-01,-5.029414568991837919e-01
-6.196057211080592264e-01,-5.015584007911287889e-01
-6.210723182017647837e-01,-5.001757047514503451e-01
-6.225357315825642557e-01,-4.987896390941887192e-01
-6.239998252930618605e-01,-4.974042915532590481e-01
-6.254605249480743590e-01,-4.960153666577007958e-01
-6.269217883543634073e-01,-4.946270340391548115e-01
-6.283800823357171828e-01,-4.932355841734232249e-01
-6.298385068892443650e-01,-4.918442696784411927e-01
-6.312943844165730400e-01,-4.904502919631977820e-01
-6.327499626494536011e-01,-4.890559999528060198e-01
-6.342034241673003558e-01,-4.876595032625304915e-01
-6.356561703396405028e-01,-4.862622607062686009e-01
-6.371073037753139934e-01,-4.848633446419011173e-01
-6.385573649307461075e-01,-4.834633157679900650e-01
-6.400060969110065168e-01,-4.820619138088924616e-01
-6.414532742880810767e-01,-4.806589042431511638e-01
-6.428995123120683219e-01,-4.792549292083703727e-01
-6.443438027573317184e-01,-4.778489479453377209e-01
-6.457875273462964083e-01,-4.764423887759723364e-01
-6.472289289131978318e-01,-4.750334460073644127e-01
-6.486701188066857915e-01,-4.736242900101008124e-01
-6.501086307823473742e-01,-4.722123971323809455e-01
-6.515472628878871131e-01,-4.708006299571517728e-01
-6.529828858210963149e-01,-4.693857995800670979e-01
-6.544189351616682693e-01,-4.679714051956741505e-01
-6.558516708921374727e-01,-4.665536511518021956e-01
-6.572851105513444203e-01,-4.651366118193784316e-01
-6.587149622402892479e-01,-4.637159491747298024e-01
-6.601457633051410756e-01,-4.622962454189070147e-01
-6.615727354672309435e-01,-4.608726904846320860e-01
-6.630008669684513967e-01,-4.594503010622690287e-01
-6.644249655051890358e-01,-4.580238714075227646e-01
-6.658503858543241005e-01,-4.565987647824505946e-01
-6.672716265895392018e-01,-4.551694877398625438e-01
-6.686940554112360546e-01,-4.537413952122913985e-01
-6.701126922302842459e-01,-4.523095347272890754e-01
-6.715321089213527328e-01,-4.508784482626289059e-01
-6.729481351823682900e-01,-4.494440070417505817e-01
-6.743645182660097381e-01,-4.480099178912329005e-01
-6.757779274147844850e-01,-4.465728987569211883e-01
-6.771912544821642177e-01,-4.451357974071507018e-01
-6.786020400784300577e-01,-4.436962033217675128e-01
-6.800122877281863376e-01,-4.422560794423623376e-01
-6.814204434726643944e-01,-4.408139135321256230e-01
-6.828275872482693076e-01,-4.393707559212972624e-01
-6.842331070105205360e-01,-4.379260215001365975e-01
-6.856373796354388039e-01,-4.364800697038502819e-01
-6.870399991825187902e-01,-4.350325186213790940e-01
-6.884414998494519100e-01,-4.335838799214736805e-01
-6.898411174953004155e-01,-4.321334244311801909e-01
-6.912399035545032655e-01,-4.306821643707990366e-01
-6.926366105293428888e-01,-4.292289041964293395e-01
-6.940328758559713984e-01,-4.277752187628044434e-01
-6.954265045025717074e-01,-4.263190080652100589e-01
-6.968200875833839847e-01,-4.248627510826854525e-01
-6.982105416987050006e-01,-4.234035105790723841e-01
-6.996014682330283785e-01,-4.219447160156079568e-01
-7.009886856923213116e-01,-4.204823998456834744e-01
-7.023769833429708287e-01,-4.190211032175208961e-01
-7.037608988490631212e-01,-4.175556630559938420e-01
-7.051465973035768720e-01,-4.160919014649428482e-01
-7.065271422756683739e-01,-4.146232864336337198e-01
-7.079102733104115641e-01,-4.131570986069866835e-01
-7.092873757679565294e-01,-4.116852551803654725e-01
-7.106679733152472256e-01,-4.102166815136082390e-01
-7.120415577566907572e-01,-4.087415534172816334e-01
-7.134196579751110878e-01,-4.072706360197817510e-01
-7.147898441624023214e-01,-4.057923490384988119e-01
-7.161652865993058947e-01,-4.043189468652754193e-01
-7.175326283469487532e-01,-4.028380275593567705e-01
-7.189048170943355132e-01,-4.013615976296785459e-01
-7.202693110058152604e-01,-3.998780526752788722e-01
-7.216382059066699384e-01,-3.983985706622991674e-01
-7.229998492064924065e-01,-3.969124072240350354e-01
-7.243652746292940092e-01,-3.954297244993447147e-01
-7.257241985409431662e-01,-3.939410727588001926e-01
-7.270858285268957388e-01,-3.924549043433074313e-01
-7.284423130653620015e-01,-3.909640294662033444e-01
-7.298000499760993742e-01,-3.894743013634742734e-01
-7.311541452376546513e-01,-3.879812560778543862e-01
-7.325079860297171175e-01,-3.864879802758123817e-01
-7.338603966010319724e-01,-3.849934088158701861e-01
-7.352107191051298063e-01,-3.834969608381630368e-01
-7.365608535431654724e-01,-3.820003329835715555e-01
-7.379083076537511499e-01,-3.805013039286836429e-01
-7.392549293091750240e-01,-3.790015200003390428e-01
-7.405995156657790846e-01,-3.774999201539832594e-01
-7.419425683239534441e-01,-3.759969432367378794e-01
-7.432842890819993942e-01,-3.744927840688559995e-01
-7.446237135154100129e-01,-3.729865746740665955e-01
-7.459625718638219771e-01,-3.714798683721238781e-01
-7.472983056909850985e-01,-3.699703842847805180e-01
-7.486343059111608689e-01,-3.684611437745768381e-01
-7.499662834504460251e-01,-3.669483398901041693e-01
-7.512994309773199930e-01,-3.654365788559584827e-01
-7.526279809870074500e-01,-3.639207579318259334e-01
-7.539578845808766472e-01,-3.624061399100491632e-01
-7.552844038775898827e-01,-3.608885415581374323e-01
-7.566102551052736880e-01,-3.593703605742685214e-01
-7.579356921008300052e-01,-3.578518168728597182e-01
-7.592569783437065345e-01,-3.563296724912705105e-01
-7.605806126218551677e-01,-3.548095571995940611e-01
-7.618969376807631644e-01,-3.532831239315792904e-01
-7.632187024173798795e-01,-3.517613834712761678e-01
-7.645300023125194411e-01,-3.502306233996159701e-01
-7.658489372154259067e-01,-3.487064368073289899e-01
-7.671568032361090195e-01,-3.471727338783951455e-01
-7.684722141135157392e-01,-3.456455132159549359e-01
-7.697783143081334822e-01,-3.441103062318978667e-01
-7.710884554158460302e-01,-3.425785658504131304e-01
-7.723928864668377914e-01,-3.410419403802715799e-01
-7.736979339610573492e-01,-3.395058440251491616e-01
-7.750016717454936144e-01,-3.379686303146615112e-01
-7.763017635618423284e-01,-3.364283484480308228e-01
-7.776043240770018627e-01,-3.348901370494822283e-01
-7.788987532442798178e-01,-3.333450997381572911e-01
-7.801999794509983932e-01,-3.318057594375000696e-01
-7.814913615028680205e-01,-3.302581709901724061e-01
-7.827884196340235690e-01,-3.287153321184682619e-01
-7.840768562005845377e-01,-3.271652842257355975e-01
-7.853695539507377088e-01,-3.256187966622257068e-01
