"s","A1","A2","A3","A4","B1","B2","B3","B4"
1.424188669627373,-0.4290700476781631,0,0,0.9032712185082944,-0.07264707034253068,0.2486499323619012,0,-0.9658652153934675
1.429424657383356,-0.4303997883040282,0,0,0.902638367358627,-0.07002883944494602,0.2485032901485485,0,-0.9660963080518113
1.4346606451393389,-0.43167277308609237,0,0,0.9020302749775991,-0.06741034240097796,0.24835153841173663,0,-0.9663215609236434
1.4398966328953218,-0.4328899973018984,0,0,0.9014467539660689,-0.06479179712491911,0.24819461911402352,0,-0.966540973817545
1.4451326206513049,-0.43405240655925686,0,0,0.9008876224924602,-0.06217342470254732,0.2480324768396254,0,-0.9667545478008145
1.4503686084072878,-0.4351608983199575,0,0,0.9003527045404859,-0.059555449265550786,0.24786505889139113,0,-0.9669622852229272
1.4556045961632709,-0.4362163233380728,0,0,0.899841830130948,-0.05693809785871775,0.24769231538523098,0,-0.9671641897378822
1.460840583919254,-0.43721948701618135,0,0,0.8993548355200562,-0.054321600300016856,0.24751419934165772,0,-0.9673602663253765
1.4660765716752369,-0.43817115068266044,0,0,0.8988915633764917,-0.051706189033720186,0.24733066677409374,0,-0.9675505213107435
1.4713125594312197,-0.439072032793015,0,0,0.8984518629392503,-0.04909209897675514,0.2471416767736028,0,-0.9677349623836006
1.4765485471872026,-0.43992281005802925,0,0,0.8980355901581222,-0.046479567358502276,0.24694719158970446,0,-0.9679135986151473
1.4817845349431857,-0.44072411850136756,0,0,0.8976426078184973,-0.04386883355428608,0.24674717670693988,0,-0.9680864404740624
1.4870205226991686,-0.441476554449079,0,0,0.8972727856520387,-0.04126013891283856,0.24654160091685975,0,-0.9682534998409481
1.4922565104551517,-0.44218067545330497,0,0,0.8969260004346283,-0.0386537265780435,0.24633043638511729,0,-0.9684147900212737
1.4974924982111348,-0.44283700115233415,0,0,0.8966021360728555,-0.03604984130530373,0.2461136587133621,0,-0.9685703257567749
1.5027284859671177,-0.44344601406900125,0,0,0.896301083680208,-0.03344872927289784,0.24589124699564183,0,-0.9687201232352699
1.5079644737231006,-0.4440081603492798,0,0,0.89602274164401,-0.030850637888723945,0.24566318386903488,0,-0.9688642000988517
1.5132004614790837,-0.44452385044278137,0,0,0.8957670156840581,-0.02825581559285487,0.24542945555825704,0,-0.9690025754504268
1.5184364492350666,-0.4449934597267355,0,0,0.8955338189038035,-0.025664511656352737,0.24519005191400203,0,-0.9691352698585733
1.5236724369910497,-0.44541732907489395,0,0,0.8953230718348476,-0.023076975976814035,0.2449449664447993,0,-0.969262305360691
1.5289084247470328,-0.44579576537267407,0,0,0.8951347024754385,-0.020493458871141037,0.244694196342195,0,-0.9693837054644276
1.5341444125030157,-0.4461290419797303,0,0,0.8949686463235726,-0.01791421086604943,0.2444377424990859,0,-0.9694994951473659
1.5393804002589986,-0.44641739914102085,0,0,0.8948248464052428,-0.015339482486842646,0.24417560952106487,0,-0.9696097008549638
1.5446163880149815,-0.4466610443473166,0,0,0.8947032532983014,-0.012769524044996653,0.24390780573066087,0,-0.9697143504967422
1.5498523757709646,-0.4468601526459836,0,0,0.8946038251523454,-0.010204585425109004,0.24363434316438745,0,-0.9698134734407227
1.5550883635269477,-0.4470148669027526,0,0,0.8945265277049722,-0.00764491587177667,0.24335523756254154,0,-0.9699071005061218
1.5603243512829306,-0.4471252980150794,0,0,0.8944713342946919,-0.0050907637769708435,0.2430705083517268,0,-0.9699952639543145
1.5655603390389137,-0.44719152507758514,0,0,0.8944382258707326,-0.0025423764684808685,0.24278017862010295,0,-0.9700779974780809
1.5707963267948966,-0.4472135954999579,0,0,0.8944271909999159,-2.9695759132689743e-17,0.24248427508539674,0,-0.9701553361891639
1.5760323145508797,-0.44719152507758514,0,0,0.8944382258707326,0.002536121056581547,0.2421828280557396,0,-0.9702273166041606
1.5812683023068623,-0.4471252980150794,0,0,0.8944713342946919,0.0050657438161120375,0.24187587138342723,0,-0.9702939766287829
1.5865042900628454,-0.4470148669027526,0,0,0.8945265277049722,0.007588627281793375,0.24156344241172745,0,-0.9703553555405228
1.5917402778188285,-0.4468601526459836,0,0,0.8946038251523454,0.010104532542932905,0.24124558191489223,0,-0.9704114939697663
1.5969762655748114,-0.4466610443473167,0,0,0.8947032532983014,0.012613222968312373,0.2409223340315571,0,-0.9704624338794049
1.6022122533307945,-0.44641739914102085,0,0,0.8948248464052428,0.015114464394666184,0.24059374619174012,0,-0.9705082185429894
1.6074482410867776,-0.4461290419797303,0,0,0.8949686463235726,0.017608025309784163,0.24025986903767868,0,-0.9705488925214883
1.6126842288427603,-0.4457957653726741,0,0,0.8951347024754385,0.020093677029779506,0.23992075633876517,0,-0.9705845016387074
1.6179202165987434,-0.44541732907489395,0,0,0.8953230718348476,0.022571193870086246,0.2395764649008675,0,-0.9706150929554324
1.6231562043547265,-0.4449934597267355,0,0,0.8955338189038033,0.02504035330977628,0.23922705447034157,0,-0.9706407147423632
1.6283921921107094,-0.4445238504427814,0,0,0.8957670156840581,0.02750093614882211,0.2388725876330602,0,-0.9706614164519081
1.6336281798666925,-0.4440081603492798,0,0,0.89602274164401,0.029952726657956237,0.23851312970880087,0,-0.9706772486889071
1.6388641676226752,-0.4434460140690013,0,0,0.896301083680208,0.03239551272081308,0.23814874864135094,0,-0.9706882631803654
1.6441001553786583,-0.4428370011523342,0,0,0.8966021360728555,0.034829085968076386,0.23777951488469923,0,-0.9706945127442648
1.6493361431346414,-0.442180675453305,0,0,0.8969260004346283,0.03725324190338254,0.2374055012856941,0,-0.9706960512575379
1.6545721308906243,-0.4414765544490791,0,0,0.8972727856520387,0.03966778002077448,0.23702678296355711,0,-0.9706929336232804
1.6598081186466074,-0.4407241185013676,0,0,0.8976426078184973,0.04207250391352942,0.23664343718664496,0,-0.9706852157372834
1.6650441064025905,-0.4399228100580293,0,0,0.8980355901581223,0.044467221374222106,0.23625554324685707,0,-0.9706729544539646
1.6702800941585731,-0.4390720327930151,0,0,0.8984518629392503,0.046851744485922206,0.2358631823320868,0,-0.9706562075517812
1.6755160819145563,-0.4381711506826605,0,0,0.8988915633764917,0.0492258897044586,0.23546643739711282,0,-0.9706350336982053
