PDF EXTRACTION RUN
UTC: 2026-09-10T16:03:31.825163+00:00
REQUEST_ID: 2026-09-10_root_pdf_extraction_pass_002
REQUESTED_BY: Ravel / ChatGPT
TARGET: directory=. recursive=False include_images=False
RECURSIVE: False
INCLUDE_IMAGES: False
FORCE_OCR: False
OCR_THRESHOLD: 200
OCR_LANGUAGE: eng
MAX_FILES: 200
FOUND: 153
SUCCEEDED: 152
FAILED: 1
MANIFEST: _AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json

RESULTS:
OK | LAB2_SAT_Dirac_And_Coupling_Closure_ReportLab.pdf -> _AUTO_EXTRACTED_TEXT/LAB2_SAT_Dirac_And_Coupling_Closure_ReportLab.txt | pages=1 chars=924 engine=PyMuPDF ocr=False
OK | LAB2_SAT_Dirac_Brackets_And_Closure_3D.pdf -> _AUTO_EXTRACTED_TEXT/LAB2_SAT_Dirac_Brackets_And_Closure_3D.txt | pages=1 chars=911 engine=PyMuPDF ocr=False
OK | LIGHT CONES AND ENTANGLEMENT (Nolat).pdf -> _AUTO_EXTRACTED_TEXT/LIGHT CONES AND ENTANGLEMENT (Nolat).txt | pages=11 chars=11301 engine=PyMuPDF ocr=False
OK | MARCH 12 SYNTHESIS (nolat).pdf -> _AUTO_EXTRACTED_TEXT/MARCH 12 SYNTHESIS (nolat).txt | pages=38 chars=29499 engine=PyMuPDF ocr=False
OK | McKnight_et_al_SAT_Whitepaper_Number_One_02Jun25.pdf -> _AUTO_EXTRACTED_TEXT/McKnight_et_al_SAT_Whitepaper_Number_One_02Jun25.txt | pages=65 chars=69264 engine=PyMuPDF ocr=False
OK | McKnight_N_SAT-QR.pdf -> _AUTO_EXTRACTED_TEXT/McKnight_N_SAT-QR.txt | pages=3 chars=3152 engine=PyMuPDF ocr=False
OK | MEMORY.pdf -> _AUTO_EXTRACTED_TEXT/MEMORY.txt | pages=14 chars=26250 engine=PyMuPDF ocr=False
OK | Minimal Introduction (SAT O era).pdf -> _AUTO_EXTRACTED_TEXT/Minimal Introduction (SAT O era).txt | pages=3 chars=3919 engine=PyMuPDF ocr=False
OK | MINKOWSKI PROPER 2.pdf -> _AUTO_EXTRACTED_TEXT/MINKOWSKI PROPER 2.txt | pages=6 chars=12577 engine=OCRmyPDF + PyMuPDF ocr=True
OK | MINKOWSKI PROPER.pdf -> _AUTO_EXTRACTED_TEXT/MINKOWSKI PROPER.txt | pages=6 chars=12577 engine=OCRmyPDF + PyMuPDF ocr=True
OK | Minkowski-1-6 2.pdf -> _AUTO_EXTRACTED_TEXT/Minkowski-1-6 2.txt | pages=6 chars=12577 engine=OCRmyPDF + PyMuPDF ocr=True
OK | Minkowski-1-6.pdf -> _AUTO_EXTRACTED_TEXT/Minkowski-1-6.txt | pages=6 chars=12577 engine=OCRmyPDF + PyMuPDF ocr=True
OK | NotebookLM_Captioned_Archive.pdf -> _AUTO_EXTRACTED_TEXT/NotebookLM_Captioned_Archive.txt | pages=4 chars=418 engine=PyMuPDF ocr=False
OK | NSATOBLOC_pre_lean.pdf -> _AUTO_EXTRACTED_TEXT/NSATOBLOC_pre_lean.txt | pages=5 chars=6310 engine=PyMuPDF ocr=False
OK | OLD BIG PAPER SAT_4D_LEGACY_REFERENCE.pdf -> _AUTO_EXTRACTED_TEXT/OLD BIG PAPER SAT_4D_LEGACY_REFERENCE.txt | pages=97 chars=123708 engine=PyMuPDF ocr=False
OK | ONE FILE SAT 2.pdf -> _AUTO_EXTRACTED_TEXT/ONE FILE SAT 2.txt | pages=19 chars=35553 engine=PyMuPDF ocr=False
OK | Orders and Q numbers 2.pdf -> _AUTO_EXTRACTED_TEXT/Orders and Q numbers 2.txt | pages=3 chars=5085 engine=PyMuPDF ocr=False
OK | Orders and Q numbers.pdf -> _AUTO_EXTRACTED_TEXT/Orders and Q numbers.txt | pages=3 chars=5085 engine=PyMuPDF ocr=False
OK | Photoneutrino Sector (nolat).pdf -> _AUTO_EXTRACTED_TEXT/Photoneutrino Sector (nolat).txt | pages=4 chars=6865 engine=PyMuPDF ocr=False
OK | PHYS (nolat) 2.pdf -> _AUTO_EXTRACTED_TEXT/PHYS (nolat) 2.txt | pages=5 chars=10677 engine=PyMuPDF ocr=False
OK | PHYS (nolat).pdf -> _AUTO_EXTRACTED_TEXT/PHYS (nolat).txt | pages=5 chars=10677 engine=PyMuPDF ocr=False
OK | Proof1).pdf -> _AUTO_EXTRACTED_TEXT/Proof1).txt | pages=3 chars=4333 engine=PyMuPDF ocr=False
OK | PROTO_RESUME 2.pdf -> _AUTO_EXTRACTED_TEXT/PROTO_RESUME 2.txt | pages=1 chars=5182 engine=PyMuPDF ocr=False
OK | PROTO_RESUME 3.pdf -> _AUTO_EXTRACTED_TEXT/PROTO_RESUME 3.txt | pages=1 chars=2278 engine=PyMuPDF ocr=False
OK | PROTO_RESUME-back.pdf -> _AUTO_EXTRACTED_TEXT/PROTO_RESUME-back.txt | pages=1 chars=5182 engine=PyMuPDF ocr=False
OK | PROTO_RESUME-front.pdf -> _AUTO_EXTRACTED_TEXT/PROTO_RESUME-front.txt | pages=1 chars=1086 engine=PyMuPDF ocr=False
OK | PROTO_RESUME.pdf -> _AUTO_EXTRACTED_TEXT/PROTO_RESUME.txt | pages=1 chars=1086 engine=PyMuPDF ocr=False
OK | ProtoRes.pdf -> _AUTO_EXTRACTED_TEXT/ProtoRes.txt | pages=2 chars=4820 engine=PyMuPDF ocr=False
LOW_TEXT | PROTOTESTPRINT.pdf -> _AUTO_EXTRACTED_TEXT/PROTOTESTPRINT.txt | pages=1 chars=104 engine=OCRmyPDF + PyMuPDF ocr=True
OK | PULSAR GLITCH (Nolat).pdf -> _AUTO_EXTRACTED_TEXT/PULSAR GLITCH (Nolat).txt | pages=6 chars=9827 engine=PyMuPDF ocr=False
OK | PULSAR_PAPER.pdf -> _AUTO_EXTRACTED_TEXT/PULSAR_PAPER.txt | pages=2 chars=4680 engine=PyMuPDF ocr=False
OK | QUANTUM GRAVITYFOAM (nolat).pdf -> _AUTO_EXTRACTED_TEXT/QUANTUM GRAVITYFOAM (nolat).txt | pages=6 chars=6499 engine=PyMuPDF ocr=False
